tag,date,question_count,question_pct,unanswered_count,unanswered_pct
paypal,9/25/2018,18050,0.001093757,8402,0.001751857
amazon-elb,9/25/2018,1452,8.80E-05,561,1.17E-04
amazon-mws,9/25/2018,706,4.28E-05,278,5.80E-05
amazon-swf,9/25/2018,232,1.41E-05,77,1.61E-05
amazon-sns,9/25/2018,1400,8.48E-05,601,1.25E-04
excel,9/25/2018,177603,0.010762031,61804,0.012886449
mongodb,9/25/2018,104159,0.00631162,36543,0.007619406
amazon-glacier,9/25/2018,192,1.16E-05,59,1.23E-05
amazon-route53,9/25/2018,1098,6.65E-05,389,8.11E-05
dropbox,9/25/2018,3071,1.86E-04,1169,2.44E-04
azure,9/25/2018,61259,0.003712048,21114,0.004402372
sql-server,9/25/2018,242484,0.014693559,60854,0.012688369
amazon-cloudwatch,9/25/2018,1165,7.06E-05,496,1.03E-04
amazon-redshift,9/25/2018,3502,2.12E-04,1265,2.64E-04
amazon-cognito,9/25/2018,2830,1.71E-04,1200,2.50E-04
amazon-dynamodb,9/25/2018,5985,3.63E-04,2178,4.54E-04
ios9,9/25/2018,4183,2.53E-04,1580,3.29E-04
amazon-sqs,9/25/2018,1584,9.60E-05,560,1.17E-04
dropbox-api,9/25/2018,2072,1.26E-04,831,1.73E-04
amazon-ses,9/25/2018,934,5.66E-05,353,7.36E-05
amazon-emr,9/25/2018,3046,1.85E-04,1241,2.59E-04
citrix,9/25/2018,597,3.62E-05,292,6.09E-05
amazon-elastic-beanstalk,9/25/2018,5490,3.33E-04,2219,4.63E-04
amazon-rds,9/25/2018,2537,1.54E-04,1026,2.14E-04
amazon-rds-aurora,9/25/2018,323,1.96E-05,148,3.09E-05
android,9/25/2018,1138658,0.068998168,424953,0.088604937
amazon-cloudformation,9/25/2018,2516,1.52E-04,888,1.85E-04
ios,9/25/2018,577421,0.034989527,189226,0.039454749
android-pay,9/25/2018,490,2.97E-05,221,4.61E-05
applepay,9/25/2018,357,2.16E-05,174,3.63E-05
windows,9/25/2018,124751,0.007559411,38967,0.008124818
amazon-web-services,9/25/2018,63939,0.003874457,25149,0.005243707
google-spreadsheet,9/25/2018,15685,9.50E-04,5978,0.001246445
amazon-cloudfront,9/25/2018,2264,1.37E-04,885,1.85E-04
amazon-lambda,9/25/2018,8032,4.87E-04,8032,0.001674715
amazon-cloudsearch,9/25/2018,318,1.93E-05,134,2.79E-05
amazon-ecs,9/25/2018,1074,6.51E-05,507,1.06E-04
amazon-s3,9/25/2018,25443,0.001541747,10022,0.002089641
amazon-elasticache,9/25/2018,434,2.63E-05,179,3.73E-05
amazon-simpledb,9/25/2018,392,2.38E-05,78,1.63E-05
amazon-data-pipeline,9/25/2018,399,2.42E-05,196,4.09E-05
amazon-ec2,9/25/2018,22755,0.001378865,8499,0.001772089
amazon-ebs,9/25/2018,338,2.05E-05,54,1.13E-05
ios8,9/25/2018,9399,5.70E-04,3213,6.70E-04
amazon-kinesis,9/25/2018,766,4.64E-05,380,7.92E-05
cognos,9/25/2018,848,5.14E-05,378,7.88E-05
actionscript,9/25/2018,9101,5.51E-04,2444,5.10E-04
amazon,9/25/2018,3636,2.20E-04,1409,2.94E-04
osx,9/25/2018,87485,0.005301258,87485,0.018241129
stripe-payments,9/25/2018,4964,3.01E-04,1799,3.75E-04
actionscript-3,9/25/2018,41149,0.002493471,11027,0.002299191
amazon-vpc,9/25/2018,719,4.36E-05,215,4.48E-05
applepayjs,9/25/2018,30,1.82E-06,19,3.96E-06
paypal,9/24/2018,18042,0.001093744,8395,0.00175155
stripe-payments,9/24/2018,4960,3.01E-04,1796,3.75E-04
amazon-elb,9/24/2018,1450,8.79E-05,559,1.17E-04
amazon-swf,9/24/2018,232,1.41E-05,77,1.61E-05
osx,9/24/2018,87467,0.005302453,87467,0.01824935
amazon-mws,9/24/2018,706,4.28E-05,278,5.80E-05
android,9/24/2018,1138256,0.069003605,424750,0.088620798
amazon-sns,9/24/2018,1397,8.47E-05,598,1.25E-04
amazon-cloudfront,9/24/2018,2264,1.37E-04,886,1.85E-04
mongodb,9/24/2018,104092,0.006310283,36507,0.007616903
ios8,9/24/2018,9399,5.70E-04,3213,6.70E-04
amazon-lambda,9/24/2018,8008,4.85E-04,8008,0.001670805
amazon-cloudsearch,9/24/2018,318,1.93E-05,134,2.80E-05
amazon,9/24/2018,3635,2.20E-04,1408,2.94E-04
excel,9/24/2018,177502,0.010760557,61754,0.012884486
amazon-web-services,9/24/2018,63876,0.003872309,25116,0.005240268
amazon-ebs,9/24/2018,338,2.05E-05,54,1.13E-05
amazon-ec2,9/24/2018,22740,0.001378551,8491,0.001771584
amazon-glacier,9/24/2018,192,1.16E-05,59,1.23E-05
dropbox,9/24/2018,3070,1.86E-04,1169,2.44E-04
amazon-simpledb,9/24/2018,392,2.38E-05,78,1.63E-05
sql-server,9/24/2018,242382,0.014693721,60815,0.012688573
azure,9/24/2018,61205,0.003710378,21091,0.00440047
amazon-elasticache,9/24/2018,434,2.63E-05,179,3.73E-05
amazon-ecs,9/24/2018,1072,6.50E-05,507,1.06E-04
applepayjs,9/24/2018,30,1.82E-06,19,3.96E-06
amazon-cloudwatch,9/24/2018,1163,7.05E-05,494,1.03E-04
amazon-cognito,9/24/2018,2826,1.71E-04,1198,2.50E-04
amazon-redshift,9/24/2018,3495,2.12E-04,1262,2.63E-04
ios9,9/24/2018,4184,2.54E-04,1580,3.30E-04
amazon-dynamodb,9/24/2018,5979,3.62E-04,2173,4.53E-04
applepay,9/24/2018,357,2.16E-05,174,3.63E-05
amazon-sqs,9/24/2018,1582,9.59E-05,558,1.16E-04
cognos,9/24/2018,848,5.14E-05,379,7.91E-05
amazon-s3,9/24/2018,25426,0.001541382,10013,0.002089138
dropbox-api,9/24/2018,2071,1.26E-04,830,1.73E-04
amazon-emr,9/24/2018,3045,1.85E-04,1241,2.59E-04
amazon-cloudformation,9/24/2018,2514,1.52E-04,889,1.85E-04
amazon-kinesis,9/24/2018,765,4.64E-05,379,7.91E-05
amazon-ses,9/24/2018,932,5.65E-05,353,7.37E-05
google-spreadsheet,9/24/2018,15669,9.50E-04,5971,0.001245802
citrix,9/24/2018,597,3.62E-05,292,6.09E-05
amazon-vpc,9/24/2018,718,4.35E-05,214,4.46E-05
actionscript-3,9/24/2018,41148,0.002494486,11027,0.002300701
amazon-elastic-beanstalk,9/24/2018,5488,3.33E-04,2218,4.63E-04
ios,9/24/2018,577252,0.034994365,189163,0.039467485
amazon-rds,9/24/2018,2536,1.54E-04,1028,2.14E-04
amazon-rds-aurora,9/24/2018,323,1.96E-05,149,3.11E-05
amazon-data-pipeline,9/24/2018,399,2.42E-05,196,4.09E-05
actionscript,9/24/2018,9100,5.52E-04,2443,5.10E-04
android-pay,9/24/2018,490,2.97E-05,221,4.61E-05
amazon-route53,9/24/2018,1098,6.66E-05,390,8.14E-05
windows,9/24/2018,124719,0.007560735,38948,0.008126193
ios,9/23/2018,577184,0.034998091,189133,0.039474066
amazon-web-services,9/23/2018,63852,0.003871724,25109,0.005240516
amazon-cloudformation,9/23/2018,2513,1.52E-04,889,1.86E-04
dropbox-api,9/23/2018,2071,1.26E-04,830,1.73E-04
amazon-lambda,9/23/2018,8004,4.85E-04,8004,0.001670517
ios8,9/23/2018,9400,5.70E-04,3213,6.71E-04
amazon-kinesis,9/23/2018,763,4.63E-05,377,7.87E-05
amazon-vpc,9/23/2018,718,4.35E-05,214,4.47E-05
applepay,9/23/2018,357,2.16E-05,174,3.63E-05
amazon-simpledb,9/23/2018,392,2.38E-05,78,1.63E-05
amazon-cloudwatch,9/23/2018,1163,7.05E-05,494,1.03E-04
amazon-dynamodb,9/23/2018,5974,3.62E-04,2171,4.53E-04
amazon-ses,9/23/2018,931,5.65E-05,352,7.35E-05
citrix,9/23/2018,597,3.62E-05,292,6.09E-05
amazon-elastic-beanstalk,9/23/2018,5487,3.33E-04,2218,4.63E-04
amazon-rds,9/23/2018,2534,1.54E-04,1028,2.15E-04
android-pay,9/23/2018,490,2.97E-05,221,4.61E-05
windows,9/23/2018,124696,0.007561037,38937,0.008126533
amazon-cloudfront,9/23/2018,2263,1.37E-04,886,1.85E-04
amazon-cloudsearch,9/23/2018,318,1.93E-05,134,2.80E-05
android,9/23/2018,1137984,0.069002576,424603,0.088618897
amazon-glacier,9/23/2018,192,1.16E-05,59,1.23E-05
amazon-ecs,9/23/2018,1072,6.50E-05,508,1.06E-04
actionscript,9/23/2018,9100,5.52E-04,2443,5.10E-04
amazon,9/23/2018,3637,2.21E-04,1410,2.94E-04
amazon-data-pipeline,9/23/2018,399,2.42E-05,196,4.09E-05
actionscript-3,9/23/2018,41148,0.002495047,11029,0.002301871
applepayjs,9/23/2018,30,1.82E-06,19,3.97E-06
paypal,9/23/2018,18040,0.001093869,8393,0.001751701
amazon-mws,9/23/2018,706,4.28E-05,278,5.80E-05
mongodb,9/23/2018,104059,0.006309698,36490,0.007615819
amazon-sns,9/23/2018,1397,8.47E-05,598,1.25E-04
excel,9/23/2018,177471,0.01076109,61755,0.012888876
amazon-cognito,9/23/2018,2824,1.71E-04,1196,2.50E-04
ios9,9/23/2018,4184,2.54E-04,1580,3.30E-04
amazon-sqs,9/23/2018,1582,9.59E-05,558,1.16E-04
amazon-redshift,9/23/2018,3493,2.12E-04,1262,2.63E-04
azure,9/23/2018,61179,0.003709635,21073,0.004398143
amazon-swf,9/23/2018,232,1.41E-05,77,1.61E-05
amazon-elb,9/23/2018,1450,8.79E-05,561,1.17E-04
osx,9/23/2018,87450,0.005302612,87450,0.018251736
cognos,9/23/2018,848,5.14E-05,379,7.91E-05
dropbox,9/23/2018,3070,1.86E-04,1169,2.44E-04
amazon-ebs,9/23/2018,338,2.05E-05,54,1.13E-05
amazon-rds-aurora,9/23/2018,323,1.96E-05,149,3.11E-05
amazon-emr,9/23/2018,3045,1.85E-04,1241,2.59E-04
sql-server,9/23/2018,242350,0.014695078,60794,0.012688303
stripe-payments,9/23/2018,4958,3.01E-04,1795,3.75E-04
amazon-elasticache,9/23/2018,434,2.63E-05,179,3.74E-05
amazon-s3,9/23/2018,25422,0.001541486,10014,0.002090028
amazon-ec2,9/23/2018,22737,0.001378678,8489,0.001771744
amazon-route53,9/23/2018,1096,6.65E-05,388,8.10E-05
google-spreadsheet,9/23/2018,15660,9.50E-04,5970,0.001245999
amazon-data-pipeline,9/22/2018,399,2.42E-05,196,4.09E-05
applepayjs,9/22/2018,30,1.82E-06,19,3.97E-06
actionscript-3,9/22/2018,41148,0.002495589,11029,0.002302683
applepay,9/22/2018,357,2.17E-05,174,3.63E-05
amazon,9/22/2018,3636,2.21E-04,1409,2.94E-04
osx,9/22/2018,87448,0.005303644,87448,0.018257789
amazon-lambda,9/22/2018,8000,4.85E-04,8000,0.001670271
amazon-vpc,9/22/2018,718,4.35E-05,214,4.47E-05
cognos,9/22/2018,848,5.14E-05,379,7.91E-05
dropbox,9/22/2018,3070,1.86E-04,1169,2.44E-04
amazon-ebs,9/22/2018,338,2.05E-05,54,1.13E-05
amazon-route53,9/22/2018,1096,6.65E-05,389,8.12E-05
amazon-kinesis,9/22/2018,763,4.63E-05,377,7.87E-05
amazon-cloudformation,9/22/2018,2513,1.52E-04,889,1.86E-04
ios8,9/22/2018,9400,5.70E-04,3213,6.71E-04
amazon-s3,9/22/2018,25416,0.001541456,10013,0.002090555
amazon-ecs,9/22/2018,1072,6.50E-05,509,1.06E-04
amazon-glacier,9/22/2018,192,1.16E-05,59,1.23E-05
android,9/22/2018,1137755,0.069003661,424469,0.08862217
amazon-cloudsearch,9/22/2018,318,1.93E-05,134,2.80E-05
amazon-cloudfront,9/22/2018,2262,1.37E-04,885,1.85E-04
windows,9/22/2018,124675,0.007561403,38923,0.008126471
amazon-ec2,9/22/2018,22735,0.001378856,8491,0.001772786
android-pay,9/22/2018,490,2.97E-05,221,4.61E-05
ios,9/22/2018,577106,0.035000968,189082,0.03947742
amazon-rds-aurora,9/22/2018,323,1.96E-05,149,3.11E-05
amazon-rds,9/22/2018,2533,1.54E-04,1029,2.15E-04
amazon-elastic-beanstalk,9/22/2018,5485,3.33E-04,2216,4.63E-04
citrix,9/22/2018,597,3.62E-05,292,6.10E-05
amazon-elasticache,9/22/2018,434,2.63E-05,179,3.74E-05
stripe-payments,9/22/2018,4957,3.01E-04,1796,3.75E-04
amazon-emr,9/22/2018,3044,1.85E-04,1240,2.59E-04
amazon-ses,9/22/2018,930,5.64E-05,351,7.33E-05
google-spreadsheet,9/22/2018,15650,9.49E-04,5966,0.001245602
amazon-sqs,9/22/2018,1580,9.58E-05,556,1.16E-04
ios9,9/22/2018,4184,2.54E-04,1580,3.30E-04
amazon-dynamodb,9/22/2018,5969,3.62E-04,2168,4.53E-04
amazon-cognito,9/22/2018,2822,1.71E-04,1195,2.49E-04
amazon-redshift,9/22/2018,3492,2.12E-04,1263,2.64E-04
azure,9/22/2018,61167,0.00370971,21069,0.004398852
amazon-cloudwatch,9/22/2018,1163,7.05E-05,495,1.03E-04
dropbox-api,9/22/2018,2071,1.26E-04,830,1.73E-04
sql-server,9/22/2018,242319,0.014696384,60788,0.012691517
excel,9/22/2018,177449,0.010762089,61750,0.012892372
amazon-sns,9/22/2018,1397,8.47E-05,598,1.25E-04
amazon-simpledb,9/22/2018,392,2.38E-05,78,1.63E-05
actionscript,9/22/2018,9100,5.52E-04,2443,5.10E-04
mongodb,9/22/2018,104030,0.006309308,36467,0.007613707
amazon-mws,9/22/2018,706,4.28E-05,278,5.80E-05
amazon-swf,9/22/2018,232,1.41E-05,77,1.61E-05
amazon-web-services,9/22/2018,63823,0.003870804,25094,0.005239229
amazon-elb,9/22/2018,1448,8.78E-05,559,1.17E-04
paypal,9/22/2018,18039,0.001094045,8392,0.001752108
mongodb,9/21/2018,104088,0.00631164,36543,0.007620043
amazon-simpledb,9/21/2018,392,2.38E-05,78,1.63E-05
amazon-ses,9/21/2018,933,5.66E-05,354,7.38E-05
citrix,9/21/2018,598,3.63E-05,293,6.11E-05
amazon-rds,9/21/2018,2533,1.54E-04,1029,2.15E-04
amazon-cloudfront,9/21/2018,2262,1.37E-04,888,1.85E-04
amazon-cloudsearch,9/21/2018,319,1.93E-05,135,2.82E-05
android,9/21/2018,1138118,0.069012769,424945,0.088610881
paypal,9/21/2018,18059,0.001095051,8414,0.001754505
amazon-mws,9/21/2018,706,4.28E-05,278,5.80E-05
amazon-data-pipeline,9/21/2018,402,2.44E-05,199,4.15E-05
amazon-cognito,9/21/2018,2830,1.72E-04,1207,2.52E-04
ios9,9/21/2018,4183,2.54E-04,1581,3.30E-04
amazon-sqs,9/21/2018,1579,9.57E-05,556,1.16E-04
azure,9/21/2018,61151,0.003708042,21081,0.004395861
amazon-swf,9/21/2018,232,1.41E-05,77,1.61E-05
osx,9/21/2018,87463,0.005303574,87463,0.018238196
amazon-ebs,9/21/2018,338,2.05E-05,54,1.13E-05
amazon-elasticache,9/21/2018,434,2.63E-05,179,3.73E-05
amazon-rds-aurora,9/21/2018,322,1.95E-05,148,3.09E-05
amazon-s3,9/21/2018,25416,0.001541171,10024,0.002090248
amazon-ec2,9/21/2018,22738,0.001378783,8498,0.00177204
ios8,9/21/2018,9400,5.70E-04,3213,6.70E-04
amazon-route53,9/21/2018,1095,6.64E-05,389,8.11E-05
dropbox-api,9/21/2018,2072,1.26E-04,831,1.73E-04
amazon-vpc,9/21/2018,718,4.35E-05,214,4.46E-05
amazon-kinesis,9/21/2018,760,4.61E-05,375,7.82E-05
amazon-web-services,9/21/2018,63824,0.00387015,25125,0.005239175
ios,9/21/2018,577222,0.035001543,189279,0.03946933
google-spreadsheet,9/21/2018,15658,9.49E-04,5978,0.001246552
sql-server,9/21/2018,242291,0.014691921,60822,0.012682765
amazon-emr,9/21/2018,3045,1.85E-04,1242,2.59E-04
dropbox,9/21/2018,3072,1.86E-04,1172,2.44E-04
cognos,9/21/2018,850,5.15E-05,381,7.94E-05
amazon-elb,9/21/2018,1451,8.80E-05,562,1.17E-04
amazon-redshift,9/21/2018,3487,2.11E-04,1262,2.63E-04
excel,9/21/2018,177495,0.010762854,61827,0.012892327
actionscript,9/21/2018,9100,5.52E-04,2443,5.09E-04
applepayjs,9/21/2018,30,1.82E-06,19,3.96E-06
actionscript-3,9/21/2018,41151,0.002495309,11032,0.002300443
amazon,9/21/2018,3641,2.21E-04,1414,2.95E-04
amazon-lambda,9/21/2018,7990,4.84E-04,7990,0.001666105
amazon-sns,9/21/2018,1397,8.47E-05,599,1.25E-04
amazon-ecs,9/21/2018,1072,6.50E-05,510,1.06E-04
amazon-glacier,9/21/2018,192,1.16E-05,59,1.23E-05
windows,9/21/2018,124734,0.007563558,38998,0.008131966
android-pay,9/21/2018,490,2.97E-05,221,4.61E-05
amazon-elastic-beanstalk,9/21/2018,5483,3.32E-04,2220,4.63E-04
amazon-dynamodb,9/21/2018,5973,0.00036219,2175,4.54E-04
amazon-cloudwatch,9/21/2018,1166,7.07E-05,498,1.04E-04
applepay,9/21/2018,356,2.16E-05,173,3.61E-05
amazon-cloudformation,9/21/2018,2510,1.52E-04,888,1.85E-04
stripe-payments,9/21/2018,4957,3.01E-04,1794,3.74E-04
actionscript-3,9/20/2018,41150,0.002496398,11032,0.00230206
amazon,9/20/2018,3639,2.21E-04,1413,2.95E-04
amazon-ecs,9/20/2018,1070,6.49E-05,509,1.06E-04
amazon-glacier,9/20/2018,192,1.16E-05,59,1.23E-05
amazon-lambda,9/20/2018,7974,4.84E-04,7974,0.001663938
amazon-elasticache,9/20/2018,434,2.63E-05,180,3.76E-05
android,9/20/2018,1137726,0.069020807,424758,0.088633951
mongodb,9/20/2018,104035,0.006311337,36515,0.007619553
amazon-sns,9/20/2018,1397,8.48E-05,599,1.25E-04
amazon-ebs,9/20/2018,338,2.05E-05,54,1.13E-05
dropbox,9/20/2018,3071,1.86E-04,1171,2.44E-04
cognos,9/20/2018,850,5.16E-05,381,7.95E-05
osx,9/20/2018,87439,0.005304561,87439,0.018246021
stripe-payments,9/20/2018,4955,3.01E-04,1793,3.74E-04
amazon-kinesis,9/20/2018,758,4.60E-05,373,7.78E-05
ios8,9/20/2018,9400,5.70E-04,3213,6.70E-04
amazon-elb,9/20/2018,1449,8.79E-05,561,1.17E-04
amazon-vpc,9/20/2018,718,4.36E-05,214,4.47E-05
amazon-swf,9/20/2018,232,1.41E-05,77,1.61E-05
amazon-s3,9/20/2018,25387,0.001540122,10002,0.002087129
amazon-web-services,9/20/2018,63751,0.003867505,25081,0.00523368
applepay,9/20/2018,356,2.16E-05,173,3.61E-05
amazon-simpledb,9/20/2018,392,2.38E-05,78,1.63E-05
azure,9/20/2018,61094,0.003706293,21054,0.004393307
amazon-redshift,9/20/2018,3481,2.11E-04,1257,2.62E-04
sql-server,9/20/2018,242170,0.014691358,60779,0.012682682
amazon-cloudformation,9/20/2018,2505,1.52E-04,886,1.85E-04
amazon-cloudwatch,9/20/2018,1165,7.07E-05,498,1.04E-04
amazon-sqs,9/20/2018,1574,9.55E-05,553,1.15E-04
amazon-dynamodb,9/20/2018,5963,3.62E-04,2170,4.53E-04
ios9,9/20/2018,4183,2.54E-04,1581,3.30E-04
amazon-emr,9/20/2018,3041,1.84E-04,1240,2.59E-04
amazon-ses,9/20/2018,933,5.66E-05,354,7.39E-05
amazon-cognito,9/20/2018,2822,1.71E-04,1201,2.51E-04
google-spreadsheet,9/20/2018,15638,9.49E-04,5969,0.001245547
amazon-cloudsearch,9/20/2018,319,1.94E-05,135,2.82E-05
amazon-rds-aurora,9/20/2018,321,1.95E-05,147,3.07E-05
amazon-data-pipeline,9/20/2018,402,2.44E-05,199,4.15E-05
dropbox-api,9/20/2018,2072,1.26E-04,831,1.73E-04
citrix,9/20/2018,598,3.63E-05,293,6.11E-05
excel,9/20/2018,177394,0.010761695,61782,0.012891985
ios,9/20/2018,577065,0.03500814,189221,0.039484983
amazon-elastic-beanstalk,9/20/2018,5477,3.32E-04,2217,4.63E-04
amazon-ec2,9/20/2018,22729,0.001378872,8493,0.001772244
amazon-rds,9/20/2018,2527,1.53E-04,1024,2.14E-04
actionscript,9/20/2018,9100,5.52E-04,2443,5.10E-04
amazon-mws,9/20/2018,705,4.28E-05,278,5.80E-05
android-pay,9/20/2018,490,2.97E-05,221,4.61E-05
paypal,9/20/2018,18058,0.001095496,8415,0.001755944
amazon-route53,9/20/2018,1095,6.64E-05,387,8.08E-05
windows,9/20/2018,124696,0.007564744,38972,0.008132241
amazon-cloudfront,9/20/2018,2259,1.37E-04,885,1.85E-04
applepayjs,9/20/2018,30,1.82E-06,19,3.96E-06
excel,9/19/2018,177297,0.010761023,61745,0.012893996
amazon-s3,9/19/2018,25364,0.001539472,9983,0.002084725
amazon-cloudfront,9/19/2018,2258,1.37E-04,884,1.85E-04
amazon,9/19/2018,3638,2.21E-04,1413,2.95E-04
amazon-cloudsearch,9/19/2018,319,1.94E-05,135,2.82E-05
amazon-simpledb,9/19/2018,392,2.38E-05,78,1.63E-05
actionscript-3,9/19/2018,41149,0.002497547,11031,0.002303579
amazon-ecs,9/19/2018,1067,6.48E-05,507,1.06E-04
ios8,9/19/2018,9400,5.71E-04,3213,6.71E-04
azure,9/19/2018,61032,0.003704329,21018,0.004389115
sql-server,9/19/2018,242044,0.014690835,60722,0.012680358
amazon-redshift,9/19/2018,3472,2.11E-04,1254,2.62E-04
amazon-lambda,9/19/2018,7953,4.83E-04,7953,0.001660803
amazon-glacier,9/19/2018,192,1.17E-05,59,1.23E-05
applepayjs,9/19/2018,30,1.82E-06,19,3.97E-06
android-pay,9/19/2018,490,2.97E-05,221,4.62E-05
amazon-web-services,9/19/2018,63660,0.003863854,25034,0.005227787
amazon-cloudwatch,9/19/2018,1163,7.06E-05,496,1.04E-04
citrix,9/19/2018,597,3.62E-05,292,6.10E-05
dropbox,9/19/2018,3071,1.86E-04,1171,2.45E-04
amazon-elasticache,9/19/2018,432,2.62E-05,178,3.72E-05
windows,9/19/2018,124649,0.007565558,38945,0.008132749
amazon-sqs,9/19/2018,1573,9.55E-05,552,1.15E-04
ios9,9/19/2018,4183,2.54E-04,1581,3.30E-04
amazon-ec2,9/19/2018,22709,0.001378326,8481,0.001771066
amazon-emr,9/19/2018,3039,1.84E-04,1239,2.59E-04
amazon-cloudformation,9/19/2018,2497,1.52E-04,883,1.84E-04
amazon-dynamodb,9/19/2018,5956,3.62E-04,2167,4.53E-04
amazon-sns,9/19/2018,1396,8.47E-05,598,1.25E-04
amazon-elastic-beanstalk,9/19/2018,5471,3.32E-04,2213,4.62E-04
ios,9/19/2018,576836,0.035011209,189101,0.039489566
mongodb,9/19/2018,103983,0.00631124,36498,0.007621756
android,9/19/2018,1137328,0.069030126,424575,0.08866272
amazon-ses,9/19/2018,933,5.66E-05,355,7.41E-05
amazon-cognito,9/19/2018,2816,1.71E-04,1197,2.50E-04
amazon-ebs,9/19/2018,338,2.05E-05,55,1.15E-05
applepay,9/19/2018,356,2.16E-05,173,3.61E-05
cognos,9/19/2018,849,5.15E-05,380,7.94E-05
osx,9/19/2018,87408,0.005305249,87408,0.018253226
amazon-data-pipeline,9/19/2018,402,2.44E-05,199,4.16E-05
amazon-route53,9/19/2018,1094,6.64E-05,386,8.06E-05
paypal,9/19/2018,18050,0.001095542,8409,0.00175602
amazon-mws,9/19/2018,703,4.27E-05,276,5.76E-05
amazon-kinesis,9/19/2018,758,4.60E-05,373,7.79E-05
amazon-rds-aurora,9/19/2018,319,1.94E-05,145,3.03E-05
stripe-payments,9/19/2018,4950,3.00E-04,1790,3.74E-04
amazon-elb,9/19/2018,1448,8.79E-05,561,1.17E-04
amazon-vpc,9/19/2018,718,4.36E-05,215,4.49E-05
dropbox-api,9/19/2018,2073,1.26E-04,831,1.74E-04
actionscript,9/19/2018,9100,5.52E-04,2443,5.10E-04
amazon-swf,9/19/2018,232,1.41E-05,77,1.61E-05
amazon-rds,9/19/2018,2524,1.53E-04,1021,2.13E-04
google-spreadsheet,9/19/2018,15620,9.48E-04,5963,0.001245234
ios8,9/18/2018,9400,5.71E-04,3213,6.71E-04
google-spreadsheet,9/18/2018,15605,9.48E-04,5953,0.00124404
amazon-ec2,9/18/2018,22697,0.001378241,8480,0.001772131
amazon-emr,9/18/2018,3039,1.85E-04,1240,2.59E-04
amazon-s3,9/18/2018,25353,0.001539522,9985,0.002086643
sql-server,9/18/2018,241917,0.014689998,60674,0.012679438
amazon-cloudformation,9/18/2018,2491,1.51E-04,878,1.83E-04
amazon-rds-aurora,9/18/2018,319,1.94E-05,145,3.03E-05
dropbox,9/18/2018,3070,1.86E-04,1170,2.45E-04
amazon-elasticache,9/18/2018,431,2.62E-05,177,3.70E-05
amazon-ebs,9/18/2018,338,2.05E-05,55,1.15E-05
cognos,9/18/2018,849,5.16E-05,380,7.94E-05
osx,9/18/2018,87377,0.005305844,87377,0.018259931
amazon-elb,9/18/2018,1447,8.79E-05,560,1.17E-04
stripe-payments,9/18/2018,4943,3.00E-04,1783,3.73E-04
amazon-swf,9/18/2018,232,1.41E-05,77,1.61E-05
amazon-redshift,9/18/2018,3469,2.11E-04,1253,2.62E-04
azure,9/18/2018,60973,0.003702481,20999,0.004388294
amazon-sqs,9/18/2018,1572,9.55E-05,551,1.15E-04
ios9,9/18/2018,4182,2.54E-04,1580,3.30E-04
amazon-data-pipeline,9/18/2018,402,2.44E-05,199,4.16E-05
amazon-cognito,9/18/2018,2811,1.71E-04,1194,2.50E-04
actionscript,9/18/2018,9100,5.53E-04,2443,5.11E-04
excel,9/18/2018,177181,0.010759019,61697,0.012893242
amazon-mws,9/18/2018,703,4.27E-05,276,5.77E-05
amazon-cloudsearch,9/18/2018,319,1.94E-05,135,2.82E-05
paypal,9/18/2018,18048,0.001095933,8408,0.001757072
applepayjs,9/18/2018,30,1.82E-06,19,3.97E-06
amazon,9/18/2018,3635,2.21E-04,1410,2.95E-04
actionscript-3,9/18/2018,41148,0.002498652,11030,0.002305031
amazon-lambda,9/18/2018,7940,4.82E-04,7940,0.001659281
android,9/18/2018,1136897,0.06903626,424350,0.088679457
amazon-sns,9/18/2018,1395,8.47E-05,598,1.25E-04
mongodb,9/18/2018,103907,0.006309579,36455,0.007618248
amazon-glacier,9/18/2018,191,1.16E-05,58,1.21E-05
amazon-ecs,9/18/2018,1062,6.45E-05,503,1.05E-04
amazon-cloudfront,9/18/2018,2255,1.37E-04,884,1.85E-04
windows,9/18/2018,124607,0.00756655,38929,0.008135255
android-pay,9/18/2018,490,2.98E-05,221,4.62E-05
amazon-rds,9/18/2018,2517,1.53E-04,1015,2.12E-04
amazon-elastic-beanstalk,9/18/2018,5473,3.32E-04,2217,4.63E-04
citrix,9/18/2018,595,3.61E-05,290,6.06E-05
amazon-dynamodb,9/18/2018,5948,3.61E-04,2160,4.51E-04
amazon-ses,9/18/2018,932,5.66E-05,356,7.44E-05
amazon-simpledb,9/18/2018,392,2.38E-05,78,1.63E-05
amazon-cloudwatch,9/18/2018,1161,7.05E-05,496,1.04E-04
amazon-route53,9/18/2018,1092,6.63E-05,386,8.07E-05
amazon-kinesis,9/18/2018,758,4.60E-05,374,7.82E-05
amazon-vpc,9/18/2018,718,4.36E-05,216,4.51E-05
applepay,9/18/2018,356,2.16E-05,173,3.62E-05
dropbox-api,9/18/2018,2073,1.26E-04,831,1.74E-04
amazon-web-services,9/18/2018,63604,0.003862257,25006,0.005225701
ios,9/18/2018,576645,0.035015958,189021,0.039501401
amazon-cloudfront,9/17/2018,2253,1.37E-04,882,1.84E-04
windows,9/17/2018,124567,0.007567401,38913,0.008137475
amazon-rds,9/17/2018,2513,1.53E-04,1011,2.11E-04
amazon-cloudsearch,9/17/2018,319,1.94E-05,135,2.82E-05
amazon-vpc,9/17/2018,717,4.36E-05,215,4.50E-05
